window,n_families,model,reference,metric,estimate,ci95_lo,ci95_hi
le75,323,year_plus_compact,,roc_auc,0.6713,0.6109,0.7327
le75,323,year_plus_compact,,log_loss,0.6701,0.6485,0.6915
le75,323,pitch_movement,year_only,d_pairwise_accuracy,0.0913,0.0185,0.1687
le75,323,pitch_movement,year_only,d_roc_auc,0.1469,0.0574,0.2353
le75,323,pitch_movement,year_only,d_log_loss,-0.0334,-0.0707,0.0073
le75,323,year_plus_pitch_movement,year_only,d_pairwise_accuracy,0.1022,0.0464,0.1625
le75,323,year_plus_pitch_movement,year_only,d_roc_auc,0.1507,0.0780,0.2216
le75,323,year_plus_pitch_movement,year_only,d_log_loss,-0.0377,-0.0738,0.0026
le75,323,combined,year_only,d_pairwise_accuracy,0.0759,0.0015,0.1548
le75,323,combined,year_only,d_roc_auc,0.1363,0.0498,0.2255
le75,323,combined,year_only,d_log_loss,-0.0197,-0.0485,0.0117
le75,323,year_plus_combined,year_only,d_pairwise_accuracy,0.1238,0.0634,0.1858
le75,323,year_plus_combined,year_only,d_roc_auc,0.1507,0.0764,0.2234
le75,323,year_plus_combined,year_only,d_log_loss,-0.0346,-0.0568,-0.0127
le75,323,compact,year_only,d_pairwise_accuracy,0.0774,0.0093,0.1502
le75,323,compact,year_only,d_roc_auc,0.1159,0.0312,0.2015
le75,323,compact,year_only,d_log_loss,-0.0232,-0.0454,-0.0008
le75,323,year_plus_compact,year_only,d_pairwise_accuracy,0.1068,0.0480,0.1672
le75,323,year_plus_compact,year_only,d_roc_auc,0.1190,0.0472,0.1896
le75,323,year_plus_compact,year_only,d_log_loss,-0.0185,-0.0388,0.0017
le100,348,year_only,,pairwise_accuracy,0.5517,0.5014,0.6049
le100,348,year_only,,roc_auc,0.5536,0.4934,0.6149
le100,348,year_only,,log_loss,0.6898,0.6819,0.6977
le100,348,pitch_movement,,pairwise_accuracy,0.6624,0.6164,0.7098
le100,348,pitch_movement,,roc_auc,0.7154,0.6614,0.7701
le100,348,pitch_movement,,log_loss,0.6615,0.6269,0.6991
le100,348,year_plus_pitch_movement,,pairwise_accuracy,0.6868,0.6379,0.7356
le100,348,year_plus_pitch_movement,,roc_auc,0.7180,0.6645,0.7725
le100,348,year_plus_pitch_movement,,log_loss,0.6559,0.6204,0.6943
le100,348,combined,,pairwise_accuracy,0.6695,0.6221,0.7155
le100,348,combined,,roc_auc,0.7086,0.6537,0.7612
le100,348,combined,,log_loss,0.6617,0.6349,0.6921
le100,348,year_plus_combined,,pairwise_accuracy,0.6753,0.6264,0.7241
le100,348,year_plus_combined,,roc_auc,0.7016,0.6472,0.7556
le100,348,year_plus_combined,,log_loss,0.6578,0.6279,0.6932
le100,348,compact,,pairwise_accuracy,0.6466,0.5991,0.6940
le100,348,compact,,roc_auc,0.6978,0.6411,0.7500
le100,348,compact,,log_loss,0.6580,0.6397,0.6781
le100,348,year_plus_compact,,pairwise_accuracy,0.6796,0.6293,0.7270
le100,348,year_plus_compact,,roc_auc,0.6977,0.6413,0.7510
le100,348,year_plus_compact,,log_loss,0.6587,0.6403,0.6791
le100,348,pitch_movement,year_only,d_pairwise_accuracy,0.1106,0.0417,0.1796
le100,348,pitch_movement,year_only,d_roc_auc,0.1618,0.0800,0.2450
le100,348,pitch_movement,year_only,d_log_loss,-0.0283,-0.0632,0.0097
le100,348,year_plus_pitch_movement,year_only,d_pairwise_accuracy,0.1351,0.0718,0.1954
le100,348,year_plus_pitch_movement,year_only,d_roc_auc,0.1644,0.0930,0.2356
le100,348,year_plus_pitch_movement,year_only,d_log_loss,-0.0339,-0.0676,0.0034
le100,348,combined,year_only,d_pairwise_accuracy,0.1178,0.0460,0.1882
le100,348,combined,year_only,d_roc_auc,0.1550,0.0747,0.2344
le100,348,combined,year_only,d_log_loss,-0.0281,-0.0563,0.0018
le100,348,year_plus_combined,year_only,d_pairwise_accuracy,0.1236,0.0632,0.1853
le100,348,year_plus_combined,year_only,d_roc_auc,0.1480,0.0764,0.2181
le100,348,year_plus_combined,year_only,d_log_loss,-0.0320,-0.0609,0.0014
le100,348,compact,year_only,d_pairwise_accuracy,0.0948,0.0259,0.1638
le100,348,compact,year_only,d_roc_auc,0.1443,0.0647,0.2223
le100,348,compact,year_only,d_log_loss,-0.0317,-0.0506,-0.0119
le100,348,year_plus_compact,year_only,d_pairwise_accuracy,0.1279,0.0675,0.1883
le100,348,year_plus_compact,year_only,d_roc_auc,0.1441,0.0739,0.2141
le100,348,year_plus_compact,year_only,d_log_loss,-0.0311,-0.0490,-0.0115
unrestricted,433,year_only,,pairwise_accuracy,0.5889,0.5450,0.6339
unrestricted,433,year_only,,roc_auc,0.6221,0.5691,0.6736
unrestricted,433,year_only,,log_loss,0.6725,0.6605,0.6839
unrestricted,433,pitch_movement,,pairwise_accuracy,0.6594,0.6166,0.7009
unrestricted,433,pitch_movement,,roc_auc,0.7164,0.6663,0.7628
unrestricted,433,pitch_movement,,log_loss,0.6465,0.6101,0.6888
unrestricted,433,year_plus_pitch_movement,,pairwise_accuracy,0.6952,0.6513,0.7367
unrestricted,433,year_plus_pitch_movement,,roc_auc,0.7220,0.6732,0.7668
unrestricted,433,year_plus_pitch_movement,,log_loss,0.6355,0.5951,0.6809
unrestricted,433,combined,,pairwise_accuracy,0.6582,0.6155,0.7032
unrestricted,433,combined,,roc_auc,0.7239,0.6753,0.7711
unrestricted,433,combined,,log_loss,0.6395,0.6068,0.6761
unrestricted,433,year_plus_combined,,pairwise_accuracy,0.7090,0.6674,0.7483
unrestricted,433,year_plus_combined,,roc_auc,0.7392,0.6905,0.7840
unrestricted,433,year_plus_combined,,log_loss,0.6260,0.5868,0.6688
unrestricted,433,compact,,pairwise_accuracy,0.6605,0.6178,0.7032
unrestricted,433,compact,,roc_auc,0.7180,0.6685,0.7650
unrestricted,433,compact,,log_loss,0.6373,0.6113,0.6645
unrestricted,433,year_plus_compact,,pairwise_accuracy,0.6917,0.6478,0.7356
unrestricted,433,year_plus_compact,,roc_auc,0.7257,0.6753,0.7718
unrestricted,433,year_plus_compact,,log_loss,0.6358,0.6057,0.6683
unrestricted,433,pitch_movement,year_only,d_pairwise_accuracy,0.0704,0.0104,0.1282
unrestricted,433,pitch_movement,year_only,d_roc_auc,0.0943,0.0268,0.1610
unrestricted,433,pitch_movement,year_only,d_log_loss,-0.0260,-0.0631,0.0163
unrestricted,433,year_plus_pitch_movement,year_only,d_pairwise_accuracy,0.1062,0.0554,0.1536
unrestricted,433,year_plus_pitch_movement,year_only,d_roc_auc,0.0999,0.0513,0.1501
unrestricted,433,year_plus_pitch_movement,year_only,d_log_loss,-0.0370,-0.0732,0.0056
unrestricted,433,combined,year_only,d_pairwise_accuracy,0.0693,0.0046,0.1316
unrestricted,433,combined,year_only,d_roc_auc,0.1018,0.0307,0.1717
unrestricted,433,combined,year_only,d_log_loss,-0.0331,-0.0670,0.0055
unrestricted,433,year_plus_combined,year_only,d_pairwise_accuracy,0.1201,0.0693,0.1709
unrestricted,433,year_plus_combined,year_only,d_roc_auc,0.1171,0.0630,0.1720
unrestricted,433,year_plus_combined,year_only,d_log_loss,-0.0465,-0.0817,-0.0061
unrestricted,433,compact,year_only,d_pairwise_accuracy,0.0716,0.0115,0.1316
unrestricted,433,compact,year_only,d_roc_auc,0.0960,0.0264,0.1640
unrestricted,433,compact,year_only,d_log_loss,-0.0352,-0.0621,-0.0068
unrestricted,433,year_plus_compact,year_only,d_pairwise_accuracy,0.1028,0.0508,0.1524
unrestricted,433,year_plus_compact,year_only,d_roc_auc,0.1036,0.0510,0.1583
unrestricted,433,year_plus_compact,year_only,d_log_loss,-0.0367,-0.0625,-0.0065
