family,vocal_id,instr_id,transposition,n_anchors,q1a_leapstep_asym,q1b_repins_vocal,q1b_repins_instr,q1b_repins_asym,q2_ins_rate_vocal,q2_ins_rate_instr,q2_len_diff,q2_gap_asym,q3_prerun_gap_minus_nongap,q4_register_slope,q5_beatstrength_rel,q5_phrase_end_coincidence,q6_insint_vocal,q6_insint_instr,quality
1302_0,NLB070229_01,NLB178554_01,5,25,0.0,nan,0.02564102564102564,nan,0.0,3.12,-78,-0.08333333333333333,nan,-0.4799999999999999,nan,nan,nan,2.909090909090909,0.92
1302_0,NLB070229_01,NLB123903_01,0,24,0.0,0.0,0.15384615384615385,-0.15384615384615385,0.041666666666666664,1.0833333333333333,-25,0.0,nan,0.6760128617363339,nan,nan,nan,3.4615384615384617,0.76
1302_0,NLB070229_01,NLB123938_01,0,25,0.0,nan,0.05,nan,0.0,3.2,-80,-0.041666666666666664,nan,-0.5538461538461534,nan,nan,nan,2.8607594936708862,0.88
1302_0,NLB070229_01,NLB177248_01,0,25,0.0,nan,0.05194805194805195,nan,0.0,3.08,-77,-0.125,nan,-0.5538461538461534,nan,nan,nan,2.8815789473684212,0.88
1302_0,NLB070229_01,NLB176060_01,0,24,0.0,0.0,0.0,0.0,0.041666666666666664,1.2083333333333333,-28,0.0,nan,0.05710610932475863,nan,nan,nan,2.8620689655172415,0.88
1302_0,NLB070423_01,NLB126342_01,2,24,0.0,nan,0.06382978723404255,nan,0.0,1.9583333333333333,-47,-0.08695652173913043,nan,-1.28,nan,nan,nan,2.723404255319149,0.8333333333333334
1302_0,NLB070423_01,NLB176316_01,-7,24,0.0,nan,0.0392156862745098,nan,0.0,2.125,-51,-0.043478260869565216,nan,-1.28,nan,nan,nan,2.6470588235294117,0.8333333333333334
1302_0,NLB070423_01,NLB178554_01,5,24,0.0,nan,0.05063291139240506,nan,0.0,3.2916666666666665,-79,-0.13043478260869565,nan,-0.34,nan,nan,nan,2.721518987341772,0.9583333333333334
1302_0,NLB070423_01,NLB123903_01,0,24,0.043478260869565216,nan,0.15384615384615385,nan,0.0,1.0833333333333333,-26,0.0,nan,0.28,nan,nan,nan,3.4615384615384617,0.7916666666666666
1302_0,NLB070423_01,NLB123938_01,0,24,0.0,nan,0.08641975308641975,nan,0.0,3.375,-81,-0.043478260869565216,nan,-0.34,nan,nan,nan,2.691358024691358,0.9583333333333334
1302_0,NLB070423_01,NLB177248_01,0,24,0.0,nan,0.05128205128205128,nan,0.0,3.25,-78,-0.13043478260869565,nan,-1.0599999999999998,nan,nan,nan,2.831168831168831,0.875
1302_0,NLB070423_01,NLB176060_01,0,24,0.0,nan,0.0,nan,0.0,1.2083333333333333,-29,0.0,nan,0.05000000000000017,nan,nan,nan,2.896551724137931,0.9166666666666666
1302_0,NLB070712_01,NLB126342_01,2,24,0.0,nan,0.06382978723404255,nan,0.0,1.9583333333333333,-47,-0.08695652173913043,nan,-0.5399999999999999,nan,nan,nan,2.765957446808511,0.875
1302_0,NLB070712_01,NLB176316_01,-7,24,0.0,nan,0.0392156862745098,nan,0.0,2.125,-51,-0.043478260869565216,nan,-0.5399999999999999,nan,nan,nan,2.6666666666666665,0.875
1302_0,NLB070712_01,NLB178554_01,5,24,0.0,nan,0.0379746835443038,nan,0.0,3.2916666666666665,-79,-0.08695652173913043,nan,-0.14,nan,nan,nan,2.848101265822785,0.9583333333333334
1302_0,NLB070712_01,NLB123903_01,0,24,0.0,nan,0.15384615384615385,nan,0.0,1.0833333333333333,-26,0.0,nan,0.5199999999999998,nan,nan,nan,3.4615384615384617,0.7916666666666666
1302_0,NLB070712_01,NLB123938_01,0,24,0.0,nan,0.07407407407407407,nan,0.0,3.375,-81,-0.043478260869565216,nan,-0.33999999999999997,nan,nan,nan,2.814814814814815,0.9583333333333334
1302_0,NLB070712_01,NLB177248_01,0,24,0.0,nan,0.05128205128205128,nan,0.0,3.25,-78,-0.08695652173913043,nan,-0.5399999999999999,nan,nan,nan,2.883116883116883,0.875
1302_0,NLB070712_01,NLB176060_01,0,24,0.0,nan,0.0,nan,0.0,1.2083333333333333,-29,0.0,nan,0.05000000000000014,nan,nan,nan,2.8620689655172415,0.9166666666666666
1302_0,NLB071003_01,NLB126342_01,2,25,0.0,nan,0.06521739130434782,nan,0.0,1.84,-46,-0.08333333333333333,nan,-0.6276923076923077,nan,nan,nan,2.782608695652174,0.88
1302_0,NLB071003_01,NLB176316_01,-7,25,0.0,nan,0.04,nan,0.0,2.0,-50,-0.041666666666666664,nan,-0.6276923076923077,nan,nan,nan,2.68,0.88
1302_0,NLB071003_01,NLB178554_01,5,25,0.0,nan,0.05128205128205128,nan,0.0,3.12,-78,-0.125,nan,-0.3692307692307693,nan,nan,nan,2.8076923076923075,0.96
1302_0,NLB071003_01,NLB123903_01,0,25,0.0,nan,0.16,nan,0.0,1.0,-25,0.0,nan,0.3876923076923075,nan,nan,nan,3.52,0.72
1302_0,NLB071003_01,NLB123938_01,0,25,0.0,nan,0.075,nan,0.0,3.2,-80,-0.041666666666666664,nan,-0.3692307692307693,nan,nan,nan,2.7875,0.96
1302_0,NLB071003_01,NLB177248_01,0,25,0.0,nan,0.05194805194805195,nan,0.0,3.08,-77,-0.08333333333333333,nan,-0.6276923076923077,nan,nan,nan,2.8947368421052633,0.88
1302_0,NLB071003_01,NLB176060_01,0,25,0.0,nan,0.0,nan,0.0,1.12,-28,0.0,nan,-0.6461538461538462,nan,nan,nan,2.75,0.84
1302_0,NLB071003_02,NLB126342_01,2,24,0.0,0.0,0.0851063829787234,-0.0851063829787234,0.041666666666666664,1.9583333333333333,-46,-0.08695652173913043,nan,0.052173913043478265,nan,nan,nan,2.6808510638297873,0.92
1302_0,NLB071003_02,NLB176316_01,-7,24,0.0,0.0,0.058823529411764705,-0.058823529411764705,0.041666666666666664,2.125,-50,-0.043478260869565216,nan,0.052173913043478265,nan,nan,nan,2.588235294117647,0.92
1302_0,NLB071003_02,NLB178554_01,5,25,-0.041666666666666664,nan,0.038461538461538464,nan,0.0,3.12,-78,-0.125,nan,-1.1076923076923075,nan,nan,nan,2.857142857142857,0.96
1302_0,NLB071003_02,NLB123903_01,0,23,0.045454545454545456,0.0,0.07407407407407407,-0.07407407407407407,0.08695652173913043,1.173913043478261,-25,0.0,nan,-0.46221071370771977,nan,nan,3.0,3.4814814814814814,0.72
1302_0,NLB071003_02,NLB123938_01,0,25,-0.041666666666666664,nan,0.0625,nan,0.0,3.2,-80,-0.041666666666666664,nan,-1.1076923076923075,nan,nan,nan,2.7848101265822787,0.96
1302_0,NLB071003_02,NLB177248_01,0,25,-0.041666666666666664,nan,0.07792207792207792,nan,0.0,3.08,-77,-0.16666666666666666,nan,-1.1076923076923075,nan,nan,nan,2.8026315789473686,0.96
1302_0,NLB071003_02,NLB176060_01,0,24,0.0,0.0,0.10344827586206896,-0.10344827586206896,0.041666666666666664,1.2083333333333333,-28,0.0,nan,-0.44869565217391283,nan,nan,nan,2.586206896551724,0.8
1302_0,NLB071139_01,NLB126342_01,2,25,0.0,nan,0.021739130434782608,nan,0.0,1.84,-46,-0.08333333333333333,nan,-0.5169230769230768,nan,nan,nan,2.9565217391304346,0.88
1302_0,NLB071139_01,NLB176316_01,-7,25,0.0,nan,0.0,nan,0.0,2.0,-50,-0.041666666666666664,nan,-0.5169230769230768,nan,nan,nan,2.86,0.88
1302_0,NLB071139_01,NLB178554_01,5,25,0.0,nan,0.038461538461538464,nan,0.0,3.12,-78,-0.125,nan,-0.36923076923076925,nan,nan,nan,2.923076923076923,0.96
